permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
17830,,UNITED AIRCRAFT CORP,1960-05-01,35.0,40.75,34.125,38.5,1.1079136690647482
18163,,PROCTER & GAMBLE CO,1960-05-01,96.75,106.5,96.25,106.0,1.1012987012987012
18411,,SOUTHERN CO,1960-05-01,45.0,46.5,42.5,44.875,0.9917127071823204
18542,,CATERPILLAR TRACTOR INC,1960-05-01,27.0,29.375,25.625,27.75,1.0136986301369864
18729,,COLGATE PALMOLIVE CO,1960-05-01,34.0,36.875,33.75,34.875,1.021978021978022
19350,,DEERE & CO DEL,1960-05-01,39.0,44.25,38.75,43.5,1.1262135922330097
19393,,BRISTOL MYERS CO,1960-05-01,46.75,55.0,46.5,54.75,1.1711229946524064
19561,,BOEING AIRPLANE CO,1960-05-01,25.25,31.75,23.625,27.125,1.079601990049751
20482,,ABBOTT LABS,1960-05-01,57.125,61.625,55.0,61.0,1.0701754385964912
21573,,INTERNATIONAL PAPER CO,1960-05-01,102.5,103.875,99.0,100.125,0.9828220858895705
21776,,PHILADELPHIA ELECTRIC CO,1960-05-01,50.5,51.125,49.25,49.375,0.9753086419753086
21936,,PFIZER CHAS & CO INC,1960-05-01,27.125,32.5,27.0,31.125,1.152777777777778
22293,,CORNING GLASS WORKS,1960-05-01,140.5,166.0,137.0,164.0,1.178796046720575
22509,,PITTSBURGH PLATE GLASS CO,1960-05-01,65.75,68.5,60.875,60.875,0.9293893129770993
22592,,MINNESOTA MINING & MFG CO,1960-05-01,194.5,214.75,188.5,211.5,1.0958549222797926
22752,,MERCK & CO INC,1960-05-01,84.25,96.0,83.875,95.5,1.1235294117647059
22779,,MOTOROLA INC,1960-05-01,155.5,194.25,152.25,189.0,1.2173913043478262
23026,,OHIO EDISON CO,1960-05-01,64.625,67.25,31.375,33.75,0.5192307692307693
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-05-01,38.75,38.75,36.5,36.5,0.9389067524115756
23819,,HALLIBURTON OIL WELL CEMENTING,1960-05-01,42.25,43.0,35.5,36.5,0.8690476190476191
23931,,NORTHERN STATES POWER CO MN,1960-05-01,25.125,27.625,24.375,27.5,1.1
24010,,MIDDLE SOUTH UTILITIES INC,1960-05-01,27.25,29.875,27.125,29.125,1.0639269406392693
24109,,AMERICAN ELECTRIC POWER CO INC,1960-05-01,50.0,53.125,50.0,52.875,1.0522388059701493
24643,,ALUMINUM COMPANY AMER,1960-05-01,88.0,93.75,87.0,89.75,1.0227920227920229
25320,,CAMPBELL SOUP CO,1960-05-01,49.0,58.0,48.625,57.5,1.1764705882352942
25785,,FORD MOTOR CO,1960-05-01,65.75,70.875,64.375,65.75,0.9981024667931688
10145,,ALLIED CHEMICAL CORP,1960-06-01,52.0,57.25,51.75,55.875,1.0797101449275361
11308,,COCA COLA CO,1960-06-01,58.75,63.0,58.625,61.25,1.0425531914893618
11404,,CONSOLIDATED EDISON CO NY INC,1960-06-01,62.375,66.0,61.75,65.75,1.0541082164328657
11674,,DETROIT EDISON CO,1960-06-01,43.125,44.875,43.125,44.625,1.0317919075144508
11762,,EATON MFG CO,1960-06-01,34.75,36.0,33.625,34.25,0.9891696750902527
11850,,STANDARD OIL CO N J,1960-06-01,40.5,43.375,40.0,40.5,1.0
12052,,GENERAL DYNAMICS CORP,1960-06-01,43.5,45.875,41.0,41.875,0.9571428571428572
12060,,GENERAL ELECTRIC CO,1960-06-01,89.125,96.0,88.75,92.25,1.0321678321678323
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-06-01,508.0,556.0,500.0,522.0,1.0357142857142858
13856,,PEPSI COLA CO,1960-06-01,43.75,50.25,42.625,44.75,1.0346820809248556
13901,,PHILIP MORRIS INC,1960-06-01,64.875,70.5,64.875,69.5,1.071290944123314
13928,,PHILLIPS PETROLEUM CO,1960-06-01,42.375,45.375,41.625,43.125,1.0207100591715976
14541,,STANDARD OIL CO CALIFORNIA,1960-06-01,40.125,43.125,40.0,41.25,1.0280373831775702
15579,,TEXAS INSTRUMENTS INC,1960-06-01,246.125,247.75,231.75,233.25,0.944331983805668
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-06-01,56.875,62.25,56.375,60.875,1.0726872246696035
16600,,HERSHEY CHOCOLATE CORP,1960-06-01,87.0,87.0,81.75,84.0,0.9655172413793104
16678,,KROGER COMPANY,1960-06-01,31.875,35.0,31.5,34.25,1.0873015873015872
17005,,MELVILLE SHOE CORP,1960-06-01,26.875,27.375,26.5,27.25,1.013953488372093
17478,,MCGRAW HILL PUBLISHING INC,1960-06-01,92.0,98.75,84.0,89.0,0.994413407821229
17750,,KIMBERLY CLARK CORP,1960-06-01,77.875,81.875,77.0,77.5,0.9951845906902087
17830,,UNITED AIRCRAFT CORP,1960-06-01,38.25,40.375,35.625,38.125,0.9902597402597403
18163,,PROCTER & GAMBLE CO,1960-06-01,106.0,120.0,106.0,116.0,1.0943396226415094
18411,,SOUTHERN CO,1960-06-01,44.875,49.625,44.625,48.5,1.0807799442896937
18542,,CATERPILLAR TRACTOR INC,1960-06-01,27.5,29.125,25.875,28.375,1.0225225225225225
18729,,COLGATE PALMOLIVE CO,1960-06-01,35.0,40.875,34.5,39.0,1.118279569892473
19350,,DEERE & CO DEL,1960-06-01,43.75,46.375,42.5,44.0,1.011494252873563
19393,,BRISTOL MYERS CO,1960-06-01,54.75,63.0,54.0,59.0,1.0776255707762556
19561,,BOEING AIRPLANE CO,1960-06-01,27.0,29.25,25.25,25.75,0.9493087557603687
20482,,ABBOTT LABS,1960-06-01,61.5,69.5,61.0,63.25,1.0368852459016393
21573,,INTERNATIONAL PAPER CO,1960-06-01,100.75,109.0,99.5,100.0,0.9987515605493134
21776,,PHILADELPHIA ELECTRIC CO,1960-06-01,49.375,50.0,47.5,50.0,1.0126582278481013
21936,,PFIZER CHAS & CO INC,1960-06-01,31.375,38.25,30.125,33.5,1.0763052208835342
22293,,CORNING GLASS WORKS,1960-06-01,165.5,186.0,162.0,174.5,1.0640243902439024
22509,,PITTSBURGH PLATE GLASS CO,1960-06-01,60.5,67.0,59.125,62.5,1.026694045174538
22592,,MINNESOTA MINING & MFG CO,1960-06-01,212.5,229.75,75.0,78.25,0.36997635933806144
22752,,MERCK & CO INC,1960-06-01,95.0,96.5,83.0,84.75,0.887434554973822
22779,,MOTOROLA INC,1960-06-01,189.25,193.75,166.0,172.75,0.9140211640211641
23026,,OHIO EDISON CO,1960-06-01,33.5,34.5,33.0,34.0,1.0074074074074073
23712,,PUBLIC SERVICE ELECTRIC & GAS CO,1960-06-01,36.625,40.125,36.5,40.0,1.095890410958904
23819,,HALLIBURTON OIL WELL CEMENTING,1960-06-01,36.0,39.875,35.375,38.75,1.0616438356164384
23931,,NORTHERN STATES POWER CO MN,1960-06-01,27.625,27.75,26.75,27.5,1.0
24010,,MIDDLE SOUTH UTILITIES INC,1960-06-01,29.5,30.0,28.625,29.75,1.0214592274678111
24109,,AMERICAN ELECTRIC POWER CO INC,1960-06-01,53.25,57.75,53.0,57.25,1.08274231678487
24643,,ALUMINUM COMPANY AMER,1960-06-01,89.5,90.375,81.75,83.75,0.9331476323119777
25320,,CAMPBELL SOUP CO,1960-06-01,58.0,64.75,56.5,63.875,1.1108695652173912
25785,,FORD MOTOR CO,1960-06-01,65.5,72.25,65.25,65.75,1.0
10145,,ALLIED CHEMICAL CORP,1960-07-01,56.125,57.0,51.0,54.0,0.9664429530201343
11308,,COCA COLA CO,1960-07-01,61.375,66.0,60.375,63.5,1.036734693877551
11404,,CONSOLIDATED EDISON CO NY INC,1960-07-01,65.75,66.375,63.5,64.625,0.9828897338403042
11674,,DETROIT EDISON CO,1960-07-01,44.625,45.875,43.625,44.375,0.9943977591036415
11762,,EATON MFG CO,1960-07-01,34.625,34.625,30.25,31.625,0.9233576642335767
11850,,STANDARD OIL CO N J,1960-07-01,40.5,41.875,40.125,40.75,1.0061728395061729
12052,,GENERAL DYNAMICS CORP,1960-07-01,42.25,43.875,41.125,43.0,1.026865671641791
12060,,GENERAL ELECTRIC CO,1960-07-01,92.0,93.875,79.0,84.625,0.9173441734417345
12490,,INTERNATIONAL BUSINESS MACHS COR,1960-07-01,523.5,526.0,490.0,524.5,1.0047892720306513
13856,,PEPSI COLA CO,1960-07-01,44.75,47.0,43.0,44.75,1.0
13901,,PHILIP MORRIS INC,1960-07-01,69.25,71.5,67.75,69.0,0.9928057553956835
13928,,PHILLIPS PETROLEUM CO,1960-07-01,43.0,44.75,42.25,44.375,1.0289855072463767
14541,,STANDARD OIL CO CALIFORNIA,1960-07-01,41.5,42.375,40.125,42.125,1.0212121212121212
15579,,TEXAS INSTRUMENTS INC,1960-07-01,234.5,236.0,208.0,225.5,0.9667738478027867
15720,,SOUTHERN CALIFORNIA EDISON CO,1960-07-01,60.875,64.375,60.625,62.375,1.0246406570841888
16600,,HERSHEY CHOCOLATE CORP,1960-07-01,84.0,85.75,83.0,84.0,1.0
16678,,KROGER COMPANY,1960-07-01,34.875,34.875,29.5,31.75,0.927007299270073
17005,,MELVILLE SHOE CORP,1960-07-01,27.25,28.25,26.75,26.75,0.981651376146789
17478,,MCGRAW HILL PUBLISHING INC,1960-07-01,,91.5,86.0,88.625,0.9957865168539326
17750,,KIMBERLY CLARK CORP,1960-07-01,77.125,79.375,73.75,73.75,0.9516129032258065
17830,,UNITED AIRCRAFT CORP,1960-07-01,38.5,42.125,38.25,40.25,1.0557377049180328
18163,,PROCTER & GAMBLE CO,1960-07-01,116.5,120.5,114.75,118.0,1.0172413793103448
