permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
13901,MO,ALTRIA GROUP INC,2014-12-01,50.13,51.67,48.91,49.27,0.9803024273776363
13928,COP,CONOCOPHILLIPS,2014-12-01,65.93,71.37,60.84,69.06,1.0452550325412442
14541,CVX,CHEVRON CORP NEW,2014-12-01,109.38,114.82,100.15,112.18,1.0304032332139248
15579,TXN,TEXAS INSTRUMENTS INC,2014-12-01,54.27,55.995,51.96,53.465,0.9824513046674017
15720,EIX,EDISON INTERNATIONAL,2014-12-01,63.13,68.74,62.78,65.48,1.0302076777847704
16600,HSY,HERSHEY CO,2014-12-01,100.24,107.0,97.7,103.93,1.036398085360989
16678,KR,KROGER CO,2014-12-01,59.81,64.9797,58.54,64.21,1.0730280748663101
17005,CVS,C V S HEALTH CORP,2014-12-01,91.42,98.62,88.945,96.31,1.0541812609457093
17478,MHFI,MCGRAW HILL FINANCIAL INC,2014-12-01,93.37,93.94,86.54,88.98,0.9520650545687995
17750,KMB,KIMBERLY CLARK CORP,2014-12-01,115.61,118.83,111.86,115.54,0.9909940818251994
17830,UTX,UNITED TECHNOLOGIES CORP,2014-12-01,109.06,118.02,108.7,115.0,1.0446947674418605
18163,PG,PROCTER & GAMBLE CO,2014-12-01,90.17,93.89,88.38,91.09,1.0072984628994803
18411,SO,SOUTHERN CO,2014-12-01,47.15,51.2799,47.07,49.11,1.0354206198608475
18542,CAT,CATERPILLAR INC,2014-12-01,100.24,101.46,88.03,91.53,0.9098409542743539
18729,CL,COLGATE PALMOLIVE CO,2014-12-01,68.67,71.31,67.25,69.19,0.994252047708004
19350,DE,DEERE & CO,2014-12-01,87.95,91.38,86.385,88.47,1.02135765412145
19393,BMY,BRISTOL MYERS SQUIBB CO,2014-12-01,59.21,61.77,57.601,59.03,0.9996613039796782
19561,BA,BOEING CO,2014-12-01,134.31,134.39999,120.58,129.98,0.9674010122060137
20482,ABT,ABBOTT LABORATORIES,2014-12-01,44.27,46.5,43.1,45.02,1.0114580993035274
21573,IP,INTERNATIONAL PAPER CO,2014-12-01,53.67,55.73,52.1,53.58,0.9955406911928651
21776,EXC,EXELON CORP,2014-12-01,35.94,38.93,35.09,37.08,1.025158971523362
21936,PFE,PFIZER INC,2014-12-01,30.88,33.1154,30.58,31.15,1.0
22293,GLW,CORNING INC,2014-12-01,20.9,23.52,20.375,22.93,1.0908658420551856
22509,PPG,P P G INDUSTRIES INC,2014-12-01,217.46001,233.67,216.03999,231.14999,1.0563475890527563
22592,MMM,3M CO,2014-12-01,158.35001,168.16,155.59,164.32001,1.026422699731401
22752,MRK,MERCK & CO INC NEW,2014-12-01,60.4,62.2,56.56,56.79,0.9402317880794702
22779,MSI,MOTOROLA SOLUTIONS INC,2014-12-01,65.59,67.98,61.63,67.08,1.0206938527084601
23026,FE,FIRSTENERGY CORP,2014-12-01,36.74,40.84,36.47,38.99,1.0572125813449025
23712,PEG,PUBLIC SERVICE ENTERPRISE GP INC,2014-12-01,41.49,43.77,40.31,41.41,0.9911440880804212
23819,HAL,HALLIBURTON CO,2014-12-01,42.02,42.13,37.21,39.33,0.9319905213270142
23931,XEL,X C E L ENERGY INC,2014-12-01,33.56,37.58,33.49,35.92,1.0583382439599294
24010,ETR,ENTERGY CORP NEW,2014-12-01,83.21,92.02,82.18,87.48,1.0426698450536354
24109,AEP,AMERICAN ELECTRIC POWER CO INC,2014-12-01,57.31,63.22,56.97,60.72,1.0550825369244137
24643,AA,ALCOA INC,2014-12-01,17.4,17.45,14.41,15.79,0.9132446500867554
25320,CPB,CAMPBELL SOUP CO,2014-12-01,44.99,45.29,42.7,44.0,0.9717314487632509
25785,F,FORD MOTOR CO DEL,2014-12-01,15.78,16.13,13.93,15.5,0.9853782581055308
10145,HON,HONEYWELL INTERNATIONAL INC,2015-01-01,100.2,103.92,96.5,97.76,0.978382706164932
11308,KO,COCA COLA CO,2015-01-01,42.26,43.83,41.11,41.17,0.9751302700142113
11404,ED,CONSOLIDATED EDISON INC,2015-01-01,66.1,72.25,65.36,69.28,1.049537948795637
11674,DTE,D T E ENERGY CO,2015-01-01,86.83,92.27,85.69,89.66,1.038091930068311
11762,ETN,EATON CORP PLC,2015-01-01,68.39,68.57,62.8,63.09,0.9283402001177163
11850,XOM,EXXON MOBIL CORP,2015-01-01,92.25,93.05,86.03,87.42,0.94559221200649
12052,GD,GENERAL DYNAMICS CORP,2015-01-01,138.47,142.41,132.63,133.21001,0.9679553117279465
12060,GE,GENERAL ELECTRIC CO,2015-01-01,25.34,25.46,23.41,23.89,0.9453897902651365
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,2015-01-01,161.31,163.31,149.52,153.31,0.9555597107953129
13856,PEP,PEPSICO INC,2015-01-01,94.93,99.0,92.94,93.78,0.991751269035533
13901,MO,ALTRIA GROUP INC,2015-01-01,49.3,55.18,48.52,53.1,1.077734929977674
13928,COP,CONOCOPHILLIPS,2015-01-01,68.5,69.48,60.641,62.98,0.9119606139588763
14541,CVX,CHEVRON CORP NEW,2015-01-01,111.63,113.0,98.88,102.53,0.9139775361026921
15579,TXN,TEXAS INSTRUMENTS INC,2015-01-01,53.56,55.46,51.72,53.45,0.999719442626017
15720,EIX,EDISON INTERNATIONAL,2015-01-01,65.01,69.59,64.78,68.15,1.0407758094074526
16600,HSY,HERSHEY CO,2015-01-01,104.33,111.35,98.73,102.21,0.983450399307226
16678,KR,KROGER CO,2015-01-01,64.11,70.06,62.38,69.05,1.0753776670300577
17005,CVS,C V S HEALTH CORP,2015-01-01,96.52,101.59,93.68,98.16,1.019208804900841
17478,MHFI,MCGRAW HILL FINANCIAL INC,2015-01-01,89.78,92.63,85.06,89.44,1.0051697010564171
17750,KMB,KIMBERLY CLARK CORP,2015-01-01,115.25,119.01,107.91,107.96,0.9343950147135192
17830,UTX,UNITED TECHNOLOGIES CORP,2015-01-01,115.14,120.95,110.23,114.78,0.9980869565217392
18163,PG,PROCTER & GAMBLE CO,2015-01-01,90.84,91.79,84.25,84.29,0.9253485563728181
18411,SO,SOUTHERN CO,2015-01-01,49.19,53.16,48.84,50.72,1.0327835471390756
18542,CAT,CATERPILLAR INC,2015-01-01,91.77,92.37,78.81,79.97,0.873702611165738
18729,CL,COLGATE PALMOLIVE CO,2015-01-01,69.17,69.46,64.87,67.52,0.9758635640988582
19350,DE,DEERE & CO,2015-01-01,88.79,89.715,84.29,85.19,0.9629252854074828
19393,BMY,BRISTOL MYERS SQUIBB CO,2015-01-01,59.43,64.44,58.04,60.27,1.0210062679993224
19561,BA,BOEING CO,2015-01-01,131.07001,148.25,126.18,145.37,1.1184028312048007
20482,ABT,ABBOTT LABORATORIES,2015-01-01,45.25,45.87,43.355,44.76,0.9942247889826744
21573,IP,INTERNATIONAL PAPER CO,2015-01-01,53.86,55.49,51.35,52.66,0.982829413960433
21776,EXC,EXELON CORP,2015-01-01,37.34,38.25,36.01,36.04,0.9719525350593312
21936,PFE,PFIZER INC,2015-01-01,31.27,33.5,31.01,31.25,1.0032102728731942
22293,GLW,CORNING INC,2015-01-01,23.03,25.16,21.89,23.77,1.0366332315743567
22509,PPG,P P G INDUSTRIES INC,2015-01-01,231.14999,233.98,219.81,222.88,0.9642224081428686
22592,MMM,3M CO,2015-01-01,164.71001,166.57001,157.744,162.3,0.9877068532310824
22752,MRK,MERCK & CO INC NEW,2015-01-01,57.22,63.62,57.025,60.28,1.0614544814227858
22779,MSI,MOTOROLA SOLUTIONS INC,2015-01-01,67.54,67.73,62.32,62.41,0.9303816338700059
23026,FE,FIRSTENERGY CORP,2015-01-01,39.1,41.68,37.93,40.33,1.0343677866119518
23712,PEG,PUBLIC SERVICE ENTERPRISE GP INC,2015-01-01,41.5,44.45,40.64,42.68,1.0306689205505917
23819,HAL,HALLIBURTON CO,2015-01-01,39.17,42.05,37.27,39.99,1.0167810831426392
23931,XEL,X C E L ENERGY INC,2015-01-01,36.02,38.345,35.595,37.53,1.0448218262806237
